Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2019,Allegany County Public Schools,CITIBANK NA,06152-1328,19914754,,
2019,Allegany County Public Schools,JEFFERSON SCHOOL - MAIN CAMPUS,21279-0751,3340238.27,,
2019,Allegany County Public Schools,MARYLAND STATE RETIREMENT & PENSION SYSTEM,21202,2540451,,
2019,Allegany County Public Schools,ACT 1ST FEDERAL CREDIT UNION,21502,1920730.52,,
2019,Allegany County Public Schools,SCHOOL THERAPY SERVICES,21532,1591892.19,,
2019,Allegany County Public Schools,WELLS FARGO BANK,32202,1566776.54,,
2019,Allegany County Public Schools,THE POTOMAC EDISON COMPANY,44309-3615,1316857.48,,
2019,Allegany County Public Schools,MARYLAND STATE RETIREMENT & PENSION SYST,21202,1301852,,
2019,Allegany County Public Schools,CHLIC (CIGNA),15264-4546,1016239.29,,
2019,Allegany County Public Schools,ALLEGANY COUNTY HEALTH DEPARTMENT,21502,1001721.8,,
2019,Allegany County Public Schools,DORI FOODS INC,23230,780155.77,,
2019,Allegany County Public Schools,BARNES SCHOOL BUS SERVICE,21543,766449,,
2019,Allegany County Public Schools,CHP TRUCK AND BUS INC,21502,680183.23,,
2019,Allegany County Public Schools,DELTA DENTAL,17055,644735.84,,
2019,Allegany County Public Schools,DALY COMPUTERS INC,22116,527459.94,,
2019,Allegany County Public Schools,STONESTREET BUSING LLC,21530,505751,,
2019,Allegany County Public Schools,ACEA,21505-5179,480846.53,,
2019,Allegany County Public Schools,MD ASSOC OF BOARDS OF EDUCATION,21401,442221,,
2019,Allegany County Public Schools,DEPARTMENT OF INFORMATION TECHNOLOGY,21032,377512.52,,
2019,Allegany County Public Schools,SELECTIVE INSURANCE,19178-2747,375506,,
2019,Allegany County Public Schools,MCCRAY BUSING INC,21502,370021.33,,
2019,Allegany County Public Schools,AMAZON BUSINESS,98124-5184,300819.33,,
2019,Allegany County Public Schools,BEEMAN BUSING LLC,21539,281664,,
2019,Allegany County Public Schools,J & S HAWKINS AND SONS,21502,274272,,
2019,Allegany County Public Schools,HM RECEIVABLES CO LLC,60693,264355.29,,
2019,Allegany County Public Schools,COLUMBIA GAS OF MARYLAND INC,45274-2519,246100.76,,
2019,Allegany County Public Schools,AMERICAN UNITED LIFE INSURANCE COMPANY,46206-6123,241143.96,,
2019,Allegany County Public Schools,MAYOR & CITY COUNCIL OF CUMBERLAND,21501-1702,227630.8,,
2019,Allegany County Public Schools,DEAFNET,21741,223412.27,,
2019,Allegany County Public Schools,CAROUSEL INDUSTRIES OF NORTH AMERICAINC,02284-2084,219723.97,,
2019,Allegany County Public Schools,ALLEGANY COLLEGE OF MARYLAND,21502,214471.61,,
2019,Allegany County Public Schools,RANKER SCHOOL BUS SERVICE,21529,204781.83,,
2019,Allegany County Public Schools,AMERICAN TRUCK & BUS INC,21401-7074,199116.87,,
2019,Allegany County Public Schools,KSB BUS SERVICE,21532,191753,,
2019,Allegany County Public Schools,TIAA COMMERCIAL FINANCE INC,80291-1608,189176.97,,
2019,Allegany County Public Schools,MD STATE RETIREMENT AGENCY,21202-6700,189094.36,,
2019,Allegany County Public Schools,DELTA EDUCATION LLC,60693-0326,185621.55,,
2019,Allegany County Public Schools,TYLER TECHNOLOGIES INC,75320-3556,179837,,
2019,Allegany County Public Schools,POTOMAC FARMS DAIRY INC,21503-2189,176922.13,,
2019,Allegany County Public Schools,UGI ENERGY SERVICES INC,19182,176262.57,,
2019,Allegany County Public Schools,SKYLINE TECHNOLOGY SOLUTIONS,21061,171939.16,,
