fiscal_year,agency_name,payee_name,payee_name_clean,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AERO ENERGY -(WISE OIL,AERO ENERGY - WISE OIL & FUEL,17350,310743.91,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AGILE MIND EDUCATION H,AGILE MIND EDUCATION HOLDINGS INC,76051,78850,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN BUS SALES & S,AMERICAN BUS SALES & S,21401,62094.19,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSU,AMERICAN FIDELITY ASSURANCE,73126-8805,637883.7,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN READING COMPA,AMERICAN READING COMPANY,19406,318055,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,APPLE FORD,APPLE FORD,21045,30159,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"APPLE, INC.",APPLE INC,30384-1877,41105.9,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ARK SYSTEMS,ARK SYSTEMS INC,21045,50870.87,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ARROW CENTER FOR EDUCA,ARROW CENTER FOR EDUCA,77388,69170.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ASCEND EDUCATION,ASCEND EDUCATION,71105,25800,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"AZ TRANSPORT,INC- BUS","AZ TRANSPORT,INC- BUS",21643,140066.02,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BANC OF AMERICA LEASIN,BANK OF AMERICA,30384-0918,235312.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BAY COUNTRY COMMUNICAT,BAY COUNTRY COMMUNICATIONS INC,21613,285695.32,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BELL TECH LOGIX,BELL TECHLOGIX INC,19182-3342,82492.06,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BENEDICTINE SCHOOL,BENEDICTINE SCHOOL,21660,330123.96,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BRIGHTSTAR CARE,BRIGHTSTAR CARE,21114,28236,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CAMBRIDGE-SOUTH DORCHE,CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,21613,65297.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CAREFIRST BLUE CROSS B,CAREFIRST BLUE CROSS BLUE SHIELD,19178-9747,8211318.36,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"CDW-G GOVERNMENT,INC",CDW GOVERNMENT,60675,32964.4,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CHESAPEAKE UTILITIES,CHESAPEAKE UTILITIES,19182-6531,140081.78,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CHOPTANK ELECTRIC COOP,CHOPTANK ELECTRIC COOPERATIVE INC,21629,34930,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"CIT BANK, N.A.","CIT BANK, N.A.",60673-1211,45791.27,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CLOVERLAND/GREEN SPRIN,CLOVERLAND GREEN SPRING DAIRY,02241-8952,116985.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COKESBURY TRANSPORTATI,COKESBURY TRANSPORTATION LLC,21659,334131.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COLLEGE BOARD,COLLEGE BOARD,10087-0171,29261.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COMMUNICATIONS ELECTRO,COMMUNICATIONS ELECTRO,21093,83799.99,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COUNTY ENVIRONMENTAL I,COUNTY ENVIRONMENTAL I,19720,102700,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CROPPER AND SON TRANSP,CROPPER AND SON TRANSPORT,21613,116760.33,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DATA MANAGEMENT, INC.","DATA MANAGEMENT, INC.",76904,32774.72,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA NETWORKS INC.,DATA NETWORKS INC.,21275-9450,946857,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DELMARVA POWER,DELMARVA POWER,19101,400010.07,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DELTA EDUCATION,DELTA EDUCATION,60695-0326,42447.02,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DEMBYS TRANSPORTATION,DEMBYS TRANSPORTATION,21613,127774.13,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION,DISCOVERY EDUCATION,21279-1363,174893.6,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DISYS,DISYS,30384-5881,94340.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DONNA BRAMBLE,DONNA BRAMBLE,21613,54965.45,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER CAREER & TE,DORCHESTER CAREER & TECH CENTER,21613,112515.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER COUNTY HEAL,DORCHESTER COUNTY HEALTH DEPARTMENT,21613,630860.59,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORI FOODS,DORI FOODS,23230,959020.38,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DOURON, INC.","DOURON, INC.",21117,794366.83,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DUNNOCK,C E,TRANS INC",C. E. DUNNOCK TRANS INC - BUS,21613,62590.93,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,E&L TRANSPORT - BUS,E&L TRANSPORT - BUS,21643,75340.49,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"EAGLE TRANSPORTATION,I",EAGLE TRANSPORTATION INC - BUS,21631,155961.12,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"EMH ENVIRONMENTAL, INC",EMH ENVIRONMENTAL INC,21738,27022.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"ENOME, INC.",ENOME INC,94401,35700,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"ENVIRONMENTAL TESTING,","ENVIRONMENTAL TESTING,",19709,35861.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,EPLUS TECHNOLOGY INC.,EPLUS TECHNOLOGY INC.,19464,30454,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,EQUAL OPPORTUNITY SCHO,EQUAL OPPORTUNITY SCHOOLS,98109,72892.81,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FASTENAL INDUST. & CON,FASTENAL INDUSTRIAL & CONSTRUCTION SUPPLIES,55987-1286,117546.9,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FLYNN MID ATLANTIC LP,FLYNN MID ATLANTIC LP,21090,705430,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FOLLETT SCHOOL SOLUTIO,FOLLETT SCHOOL SOLUTIONS,60693-0918,41073.71,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"FOR ALL SEASONS, INC.","FOR ALL SEASONS, INC.",21601,26000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FPC DISTRIBUTION,FPC DISTRIBUTION,21075,58055.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
