fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AERO ENERGY -(WISE OIL,17350,310743.91,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AGILE MIND EDUCATION H,76051,78850,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN BUS SALES & S,21401,62094.19,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSU,73126-8805,637883.7,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN READING COMPA,19406,318055,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,APPLE FORD,21045,30159,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"APPLE, INC.",30384-1877,41105.9,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ARK SYSTEMS,21045,50870.87,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ARROW CENTER FOR EDUCA,77388,69170.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ASCEND EDUCATION,71105,25800,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"AZ TRANSPORT,INC- BUS",21643,140066.02,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BANC OF AMERICA LEASIN,30384-0918,235312.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BAY COUNTRY COMMUNICAT,21613,285695.32,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BELL TECH LOGIX,19182-3342,82492.06,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BENEDICTINE SCHOOL,21660,330123.96,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,BRIGHTSTAR CARE,21114,28236,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CAMBRIDGE-SOUTH DORCHE,21613,65297.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CAREFIRST BLUE CROSS B,19178-9747,8211318.36,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"CDW-G GOVERNMENT,INC",60675,32964.4,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CHESAPEAKE UTILITIES,19182-6531,140081.78,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CHOPTANK ELECTRIC COOP,21629,34930,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"CIT BANK, N.A.",60673-1211,45791.27,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CLOVERLAND/GREEN SPRIN,02241-8952,116985.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COKESBURY TRANSPORTATI,21659,334131.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COLLEGE BOARD,10087-0171,29261.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COMMUNICATIONS ELECTRO,21093,83799.99,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,COUNTY ENVIRONMENTAL I,19720,102700,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,CROPPER AND SON TRANSP,21613,116760.33,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DATA MANAGEMENT, INC.",76904,32774.72,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA NETWORKS INC.,21275-9450,946857,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
